Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
56,0,35958,5871,33396,3309,22972,12986,0,12038,10889,13031,1045,902,1232,998,2311,1834,3952,1406,962,1089,3313,4006,1239,2134,1406,2208,2734,1252,1294,641
57,0,35867,8858,32126,5117,22902,12965,0,12000,10882,12985,1045,902,1233,997,2311,1834,3952,1406,964,1089,3311,4008,1239,2117,1406,2212,2733,1252,1214,642
58,0,35867,8864,32098,5095,22958,12909,0,12017,10868,12982,1046,902,1233,995,2311,1834,3952,1406,964,1089,3307,4010,1239,2117,1406,2204,2732,1252,1226,642
59,0,35900,8818,32179,5097,22980,12920,0,12017,10873,13010,1047,902,1233,994,2311,1834,3952,1406,964,1089,3305,4010,1239,2117,1406,2224,2732,1252,1243,640
60,0,35869,8814,32155,5100,22948,12921,0,12018,10868,12983,1047,902,1233,993,2311,1834,3952,1406,964,1089,3301,4012,1239,2117,1406,2205,2731,1252,1235,640
63,0,35874,8810,32143,5079,22985,12889,0,12000,10875,12999,1047,902,1233,992,2311,1834,3952,1406,965,1089,3297,4013,1239,2117,1406,2222,2731,1252,1226,640
64,0,35851,8778,32167,5094,22960,12891,0,11995,10876,12980,1047,902,1233,991,2311,1834,3952,1406,965,1089,3295,4014,1239,2117,1406,2181,2731,1252,1247,639
65,0,35877,8724,32198,5045,22977,12900,0,12008,10858,13011,1047,902,1233,990,2311,1834,3952,1406,965,1089,3294,4014,1239,2117,1406,2182,2731,1252,1274,639
66,0,35855,8775,32147,5067,22966,12889,0,12010,10859,12986,1047,902,1233,990,2311,1834,3952,1406,965,1089,3293,4014,1239,2117,1406,2203,2730,1252,1233,639
67,0,35809,8766,32115,5072,22939,12870,0,12000,10847,12962,1047,902,1233,988,2310,1834,3952,1406,965,1089,3291,4014,1239,2117,1406,2191,2729,1252,1205,639
70,0,35799,8759,32098,5058,22945,12854,0,12010,10851,12938,1047,902,1233,986,2310,1834,3952,1406,966,1089,3291,4014,1239,2118,1406,2178,2728,1252,1209,639
71,0,35818,8720,32100,5002,22949,12869,0,11982,10848,12988,1047,902,1233,985,2310,1834,3952,1406,968,1089,3291,4014,1239,2118,1406,2180,2728,1252,1225,639
72,0,35864,8739,32141,5016,22982,12882,0,12008,10871,12985,1047,902,1233,983,2310,1834,3952,1406,969,1089,3285,4014,1239,2118,1406,2219,2728,1252,1239,639
73,0,35799,8730,32101,5032,22945,12854,0,11988,10838,12973,1047,902,1233,983,2310,1834,3952,1406,968,1089,3282,4014,1239,2118,1406,2195,2728,1252,1202,639
74,0,35829,8693,32149,5013,22979,12850,0,11990,10858,12981,1047,902,1233,982,2310,1834,3952,1406,966,1089,3280,4014,1239,2120,1406,2198,2727,1252,1233,639
77,0,35831,8671,32155,4995,22964,12867,0,12010,10856,12965,1047,902,1233,981,2310,1834,3952,1406,966,1089,3279,4014,1239,2121,1406,2206,2727,1252,1228,639
78,0,35793,8746,32067,5020,22930,12863,0,11978,10832,12983,1047,902,1233,979,2310,1834,3952,1406,965,1089,3275,4014,1239,2121,1406,2169,2726,1252,1235,639
79,0,35775,8683,32079,4987,22933,12842,0,11983,10848,12944,1047,902,1233,978,2310,1834,3952,1406,964,1089,3272,4014,1239,2122,1406,2168,2725,1252,1223,639
80,0,35800,8699,32107,5006,22950,12850,0,11982,10852,12966,1047,902,1233,976,2310,1834,3952,1406,965,1089,3267,4014,1239,2122,1406,2179,2724,1252,1244,639
81,0,35749,8701,32066,5018,22947,12802,0,11972,10836,12941,1047,902,1233,975,2310,1834,3952,1406,965,1089,3265,4014,1239,2122,1406,2170,2723,1252,1206,639
84,0,35748,8721,32054,5027,22931,12817,0,11962,10841,12945,1047,902,1233,973,2310,1834,3952,1406,964,1089,3262,4014,1239,2122,1406,2168,2722,1252,1214,639
85,0,35766,8679,32081,4994,22940,12826,0,11974,10824,12968,1047,902,1233,972,2310,1834,3952,1406,964,1089,3261,4014,1239,2122,1406,2179,2721,1252,1224,639
86,0,35728,8694,32039,5005,22930,12798,0,11945,10843,12940,1047,902,1233,971,2310,1834,3952,1406,964,1089,3260,4014,1239,2122,1406,2169,2721,1252,1198,639
87,0,35742,8635,32084,4977,22940,12802,0,11952,10836,12954,1047,902,1233,971,2310,1834,3952,1406,964,1089,3258,4014,1239,2122,1406,2166,2720,1252,1218,639
88,0,35773,8647,32107,4981,22945,12828,0,11975,10833,12965,1047,902,1233,971,2310,1834,3952,1406,964,1089,3256,4014,1239,2122,1406,2206,2720,1252,1211,639
91,1,31637,8709,28381,5453,19358,12279,0,10651,9621,11365,773,902,1068,919,2240,1170,3951,1042,760,1076,3139,4010,1239,872,1405,1636,2432,1252,1148,603
92,1,31680,5677,29423,3420,19379,12301,0,10658,9624,11398,772,901,1067,919,2223,1193,3951,1044,760,1071,3136,4007,1239,892,1405,1677,2422,1252,1149,600
93,1,31561,5690,29319,3448,19300,12261,0,10629,9560,11372,772,901,1067,918,2222,1192,3951,1044,760,1071,3128,4007,1239,891,1405,1620,2377,1252,1145,599
94,0,35455,5663,33002,3210,22860,12595,0,11850,10745,12860,1045,901,1159,951,2301,1836,3952,1407,941,1079,3206,4011,1239,2137,1406,2117,2700,1252,1179,636
95,0,35416,8456,31892,4932,22838,12578,0,11855,10765,12796,1039,901,1164,952,2301,1836,3952,1407,951,1079,3206,4011,1239,2125,1406,2098,2699,1252,1162,636
98,0,35455,8318,31968,4831,22857,12598,0,11861,10747,12847,1039,901,1164,950,2301,1836,3952,1406,953,1079,3206,4012,1239,2125,1406,2116,2699,1252,1183,636
99,0,35462,8466,31946,4950,22880,12582,0,11873,10780,12809,1039,901,1164,950,2301,1836,3952,1406,953,1079,3205,4012,1239,2125,1406,2121,2699,1252,1186,636
100,0,35443,8423,31881,4861,22864,12579,0,11878,10758,12807,1039,901,1164,950,2301,1836,3952,1406,953,1079,3205,4012,1239,2127,1406,2114,2698,1252,1173,636
101,0,35437,8396,31900,4859,22880,12557,0,11870,10756,12811,1039,901,1164,950,2301,1836,3952,1406,953,1079,3204,4012,1239,2127,1406,2140,2698,1252,1142,636
102,0,35469,8405,31958,4894,22890,12579,0,11862,10766,12841,1039,901,1164,950,2301,1836,3952,1406,954,1079,3202,4012,1239,2127,1406,2129,2698,1252,1186,636
105,0,35451,8429,31920,4898,22875,12576,0,11870,10757,12824,1039,901,1164,950,2301,1836,3952,1406,954,1079,3202,4012,1239,2127,1406,2125,2698,1252,1172,636
106,0,35427,8420,31901,4894,22872,12555,0,11863,10777,12787,1039,901,1164,950,2301,1836,3952,1406,954,1079,3202,4012,1239,2127,1406,2125,2697,1252,1149,636
107,0,35417,8412,31901,4896,22867,12550,0,11866,10764,12787,1039,901,1164,950,2302,1836,3952,1406,954,1079,3202,4012,1239,2127,1406,2094,2697,1252,1169,636
108,0,35430,8397,31933,4900,22859,12571,0,11859,10754,12817,1039,901,1164,950,2302,1836,3952,1406,955,1079,3200,4012,1239,2127,1406,2117,2697,1252,1160,636
109,0,35425,8437,31882,4894,22840,12585,0,11844,10755,12826,1039,901,1164,949,2302,1836,3952,1406,955,1079,3196,4012,1239,2128,1406,2082,2697,1252,1194,636
112,0,35443,8329,31962,4848,22862,12581,0,11843,10775,12825,1039,901,1164,949,2302,1836,3952,1406,955,1079,3195,4012,1239,2128,1406,2100,2697,1252,1195,636
113,0,35436,8419,31903,4886,22877,12559,0,11856,10763,12817,1039,901,1164,948,2302,1836,3952,1406,955,1079,3193,4012,1239,2130,1406,2101,2697,1252,1188,636
114,0,35425,8380,31910,4865,22861,12564,0,11855,10772,12798,1040,901,1164,947,2302,1836,3952,1406,956,1079,3193,4012,1238,2130,1406,2120,2697,1252,1158,636
115,0,35431,8339,31932,4840,22869,12562,0,11861,10758,12812,1040,901,1164,947,2302,1836,3952,1406,956,1079,3192,4012,1238,2131,1406,2107,2696,1252,1178,636
116,0,35367,8402,31857,4892,22852,12515,0,11846,10737,12784,1040,901,1164,947,2302,1836,3952,1406,956,1079,3192,4012,1238,2131,1406,2088,2696,1252,1133,636
119,1,31497,8296,28393,5192,19319,12178,0,10581,9588,11328,775,901,1067,908,2234,1169,3951,1040,761,1073,3089,4010,1238,878,1405,1578,2429,1252,1137,602
120,0,35398,5553,32990,3145,22864,12534,0,11829,10773,12796,1041,901,1164,943,2301,1843,3952,1406,956,1079,3188,4012,1238,2142,1406,2085,2696,1252,1157,636
